task,rule_idx,baseline_acc,modified_acc,accuracy_drop,prediction_change_ratio
0,14,0.9578,0.9578,0.0,0.0
0,14,0.9578,0.9578,0.0,
0,12,0.9578,0.9578,0.0,0.0
0,12,0.9578,0.9578,0.0,
1,3,0.9578,0.9578,0.0,0.0
1,3,0.9578,0.9578,0.0,
1,10,0.9578,0.9578,0.0,0.0
1,10,0.9578,0.9578,0.0,
2,13,0.9578,0.9578,0.0,0.0
2,13,0.9578,0.9578,0.0,
2,18,0.9578,0.9578,0.0,0.0
2,18,0.9578,0.9578,0.0,
3,8,0.9578,0.9578,0.0,0.0
3,8,0.9578,0.9578,0.0,
3,11,0.9578,0.9578,0.0,0.0
3,11,0.9578,0.9578,0.0,
4,9,0.9578,0.9578,0.0,0.0
4,9,0.9578,0.9578,0.0,
4,15,0.9578,0.9578,0.0,0.0
4,15,0.9578,0.9578,0.0,
5,10,0.9578,0.9578,0.0,0.0
5,10,0.9578,0.9578,0.0,
5,3,0.9578,0.9578,0.0,0.0
5,3,0.9578,0.9578,0.0,
6,2,0.9578,0.9578,0.0,0.0
6,2,0.9578,0.9578,0.0,
6,17,0.9578,0.9578,0.0,0.0
6,17,0.9578,0.9578,0.0,
7,14,0.9578,0.9578,0.0,0.0002
7,14,0.9578,0.9578,0.0,
7,12,0.9578,0.9578,0.0,0.0
7,12,0.9578,0.9578,0.0,
8,2,0.9578,0.9578,0.0,0.0
8,2,0.9578,0.9578,0.0,
8,7,0.9578,0.9576,0.00019999999999997797,0.0002
8,7,0.9578,0.9576,0.00019999999999997797,
9,9,0.9578,0.9576,0.00019999999999997797,0.0002
9,9,0.9578,0.9576,0.00019999999999997797,
9,3,0.9578,0.9578,0.0,0.0
9,3,0.9578,0.9578,0.0,
10,12,0.9578,0.9578,0.0,0.0
10,12,0.9578,0.9578,0.0,
10,5,0.9578,0.9578,0.0,0.0
10,5,0.9578,0.9578,0.0,
11,9,0.9578,0.9578,0.0,0.0002
11,9,0.9578,0.9578,0.0,
11,0,0.9578,0.9574,0.00039999999999995595,0.0004
11,0,0.9578,0.9574,0.00039999999999995595,
12,12,0.9578,0.9578,0.0,0.0
12,12,0.9578,0.9578,0.0,
12,18,0.9578,0.9578,0.0,0.0
12,18,0.9578,0.9578,0.0,
13,18,0.9578,0.9578,0.0,0.0002
13,18,0.9578,0.9578,0.0,
13,13,0.9578,0.9578,0.0,0.0
13,13,0.9578,0.9578,0.0,
14,12,0.9578,0.9578,0.0,0.0
14,12,0.9578,0.9578,0.0,
14,11,0.9578,0.9578,0.0,0.0
14,11,0.9578,0.9578,0.0,
15,4,0.9578,0.9576,0.00019999999999997797,0.0002
15,4,0.9578,0.9576,0.00019999999999997797,
15,19,0.9578,0.9578,0.0,0.0
15,19,0.9578,0.9578,0.0,
16,10,0.9578,0.9576,0.00019999999999997797,0.0002
16,10,0.9578,0.9576,0.00019999999999997797,
16,4,0.9578,0.9578,0.0,0.0
16,4,0.9578,0.9578,0.0,
17,0,0.9578,0.9578,0.0,0.0
17,0,0.9578,0.9578,0.0,
17,2,0.9578,0.9578,0.0,0.0
17,2,0.9578,0.9578,0.0,
18,11,0.9578,0.9578,0.0,0.0
18,11,0.9578,0.9578,0.0,
18,3,0.9578,0.9578,0.0,0.0
18,3,0.9578,0.9578,0.0,
