task,rule,baseline_global,modified_global,drop,neighbor_1,neighbor_2,neighbor_3,similarity_1,similarity_2,similarity_3,spillover_1,spillover_2,spillover_3,max_similarity,max_spillover,original_rule,edited_rule,equiv_size
6,123,0.9578,0.9482,0.009599999999999942,182,51,126,0.12100865691900253,0.08752398192882538,0.08548714965581894,-0.05377919226884842,0.0017892494797706604,0.002201490104198456,0.12100865691900253,0.002201490104198456,3 & 13,6 & 12,3
6,128,0.9578,0.9482,0.009599999999999942,264,177,277,0.13099044561386108,0.10574866086244583,0.09132349491119385,0.0019376203417778015,0.0020252615213394165,0.0020252615213394165,0.13099044561386108,0.0020252615213394165,3 & 13,6 & 12,3
7,154,0.9578,0.9488,0.009000000000000008,189,53,89,0.16562063992023468,0.12955278158187866,0.11879841983318329,0.0018313471227884293,0.001949850469827652,0.0018313471227884293,0.16562063992023468,0.001949850469827652,7 & 10,10 & 8,1
8,162,0.9578,0.9486,0.009199999999999986,68,110,53,0.15213608741760254,0.14445525407791138,0.13031071424484253,0.0024293139576911926,0.0030075907707214355,0.0015754364430904388,0.15213608741760254,0.0030075907707214355,8 & 10,11 & 7,2
8,178,0.9578,0.9486,0.009199999999999986,287,24,333,0.13358379900455475,0.09655111283063889,0.09462664276361465,0.003027290105819702,0.0014969408512115479,0.0015754364430904388,0.13358379900455475,0.003027290105819702,8 & 10,11 & 7,2
9,189,0.9578,0.9498,0.008000000000000007,68,154,89,0.1856841892004013,0.16562063992023468,0.1312180459499359,0.0021973084658384323,0.001302175223827362,-0.05144450441002846,0.1856841892004013,0.0021973084658384323,9 & 10,12 & 6,2
9,197,0.9578,0.9498,0.008000000000000007,107,91,106,0.0908101424574852,0.08844199031591415,0.08597186952829361,0.0015495717525482178,0.001700589433312416,0.0021089501678943634,0.0908101424574852,0.0021089501678943634,9 & 10,12 & 6,2
10,212,0.9578,0.9472,0.010599999999999943,334,270,143,0.11515434086322784,0.10998169332742691,0.10121741890907288,0.003547750413417816,0.0028317347168922424,0.0028764158487319946,0.11515434086322784,0.003547750413417816,3 & 17,6 & 12,1
11,229,0.9578,0.9502,0.00759999999999994,155,122,258,0.15253539383411407,0.13352780044078827,0.12405700236558914,0.001438423991203308,0.0019917115569114685,0.0017833448946475983,0.15253539383411407,0.0019917115569114685,8 & 13,11 & 7,2
11,233,0.9578,0.9502,0.00759999999999994,347,273,99,0.09488659352064133,0.09431038051843643,0.08299441635608673,0.001538129523396492,0.013527534902095795,0.0019586924463510513,0.09488659352064133,0.013527534902095795,8 & 13,11 & 7,2
