config,train_acc,test_acc,best_val_loss
Cosine,0.997037037037037,0.9416,0.5815510153770447
Dotproduct,0.05262962962962963,0.0522,165.56964111328125
Euclidean,0.056,0.0506,169.15370178222656
Bilinear,0.06096296296296296,0.0582,168.0650177001953
Attention,0.05374074074074074,0.0484,168.0028076171875
